
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  1.171E-006  1.68E-006 4.535E-009 6.505E-009
_hvmv_sub_lsb            7.574      1.052    0.01161     0.1533   0.01036    0.1368
hvmv_sub_48332           7.574      1.052    0.01161     0.1533   0.01036    0.1368
m1009763                 7.366      1.023    0.09245      1.255    0.1254     1.703
l2673322                 7.342       1.02          0          0         0         0
m1069148                 7.486       1.04          0          0         0         0
l2673309                 7.485       1.04          0          0         0         0
m1069588                 7.411      1.029          0          0         0         0
l2804270                 7.411      1.029          0          0         0         0
m3036164                 7.261      1.009          0          0         0         0
l2935553                  7.26      1.008          0          0         0         0
m1209749                 7.516      1.044          0          0         0         0
l2748840                 7.516      1.044          0          0         0         0
m1108264                 7.489       1.04          0          0         0         0
m1108263                 7.488       1.04          0          0         0         0
l3085398                 7.387      1.026    0.09213      1.247     0.119      1.61
m1026891                 7.385      1.026     0.0926      1.254    0.1191     1.613
l3216367                 7.376      1.025    0.09497      1.288   0.06588    0.8932
m1069468                 7.375      1.024    0.09512       1.29   0.06555    0.8888
m1142800                 7.423      1.031          0          0         0         0
m1142799                 7.423      1.031          0          0         0         0
m1047592                 7.436      1.033    0.09181      1.235   0.09612     1.293
p827512                  7.464      1.037          0          0         0         0
m1047339                 7.421      1.031    0.02148     0.2895   0.06301    0.8491
p895104                   7.39      1.026          0          0         0         0
m1026915                 7.387      1.026    0.09148      1.238    0.1193     1.615
m1026920                 7.386      1.026    0.09128      1.236    0.1195     1.618
n1138596                   7.4      1.028          0          0         0         0
l3254207                 7.399      1.028          0          0         0         0
m1069464                 7.374      1.024     0.0954      1.294   0.06494    0.8806
p873787                  7.338      1.019          0          0         0         0
n1144665                 7.441      1.034    0.09171      1.232   0.08695     1.169
m1047515                 7.438      1.033     0.0915       1.23   0.08688     1.168
n1137002                 7.422      1.031          0          0         0         0
m1047707                 7.422      1.031          0          0         0         0
l2729406                 7.374      1.024          0          0         0         0
l2897768                 7.374      1.024          0          0         0         0
l3649301                 7.409      1.029          0          0         0         0
l3649302                 7.409      1.029          0          0         0         0
l2970842                 7.503      1.042          0          0         0         0
m1089113                 7.502      1.042          0          0         0         0
m1047312                 7.405      1.029    0.02534     0.3422   0.06948    0.9383
p893163                  7.369      1.024          0          0         0         0
l2822871                 7.404      1.028    0.09012      1.217     0.114     1.539
m1026872                 7.402      1.028    0.09024      1.219    0.1144     1.545
m1026312                  7.26      1.008          0          0         0         0
l2973163                 7.258      1.008          0          0         0         0
l3728038                 7.405      1.029          0          0         0         0
l3728039                 7.405      1.028          0          0         0         0
m1069567                 7.419       1.03          0          0         0         0
m1069582                 7.413       1.03          0          0         0         0
n1140830                 7.321      1.017          0          0         0         0
l3216351                 7.321      1.017          0          0         0         0
l2952007                 7.444      1.034          0          0         0         0
l2861158                 7.443      1.034          0          0         0         0
n1140827                 7.359      1.022    0.07068     0.9605    0.1082      1.47
m1026726                 7.359      1.022    0.07069     0.9606    0.1082      1.47
l2730106                 7.348      1.021    0.04169     0.5673     0.122      1.66
n1142099                 7.348      1.021     0.0419     0.5702    0.1225     1.667
m1026658                 7.354      1.021    0.06944     0.9443    0.1075     1.462
l3172805                  7.32      1.017          0          0         0         0
p895112                  7.355      1.022          0          0         0         0
l3048962                 7.355      1.022          0          0         0         0
