
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  1.05E-006  1.505E-006 4.535E-009 6.505E-009
_hvmv_sub_lsb            7.573      1.052    0.01019     0.1346   0.01198    0.1582
hvmv_sub_48332           7.573      1.052    0.01019     0.1346   0.01198    0.1582
m1009763                 7.484       1.04     0.1575      2.104    0.1818     2.429
l2673322                 7.496      1.041          0          0         0         0
m1069148                 7.551      1.049          0          0         0         0
l2673309                  7.55      1.049          0          0         0         0
m1069588                 7.435      1.033          0          0         0         0
l2804270                 7.435      1.033          0          0         0         0
m3036164                 7.222      1.003          0          0         0         0
l2935553                 7.221      1.003          0          0         0         0
m1209749                 7.556       1.05          0          0         0         0
l2748840                 7.556      1.049          0          0         0         0
m1108264                 7.435      1.033          0          0         0         0
m1108263                 7.435      1.033          0          0         0         0
l3085398                 7.518      1.044     0.1602      2.131    0.1735     2.309
m1026891                 7.514      1.044     0.1606      2.137    0.1735     2.308
l3216367                 7.528      1.046      0.172      2.285    0.1109     1.474
m1069468                 7.529      1.046     0.1723      2.289    0.1107      1.47
m1142800                 7.575      1.052          0          0         0         0
m1142799                 7.574      1.052          0          0         0         0
m1047592                 7.482      1.039     0.1609      2.151    0.1401     1.872
p827512                  7.455      1.036          0          0         0         0
m1047339                 7.756      1.077    0.04518     0.5825    0.1017     1.311
p895104                  7.751      1.077          0          0         0         0
m1026915                 7.528      1.046     0.1613      2.143    0.1727     2.295
m1026920                 7.532      1.046      0.162      2.151    0.1723     2.287
n1138596                  7.66      1.064          0          0         0         0
l3254207                  7.66      1.064          0          0         0         0
m1069464                 7.531      1.046      0.173      2.297    0.1102     1.463
p873787                   7.52      1.044          0          0         0         0
n1144665                 7.487       1.04     0.1615      2.157    0.1277     1.706
m1047515                 7.487       1.04     0.1612      2.153     0.128      1.71
n1137002                 7.474      1.038          0          0         0         0
m1047707                 7.474      1.038          0          0         0         0
l2729406                 7.464      1.037          0          0         0         0
l2897768                 7.464      1.037          0          0         0         0
l3649301                 7.491      1.041          0          0         0         0
l3649302                 7.491       1.04          0          0         0         0
l2970842                 7.458      1.036          0          0         0         0
m1089113                 7.456      1.036          0          0         0         0
m1047312                 7.817      1.086    0.04991     0.6385    0.1115     1.427
p893163                  7.804      1.084          0          0         0         0
l2822871                 7.502      1.042     0.1572      2.095    0.1677     2.235
m1026872                 7.503      1.042     0.1574      2.098    0.1682     2.241
m1026312                 7.652      1.063          0          0         0         0
l2973163                 7.649      1.062          0          0         0         0
l3728038                 7.521      1.045          0          0         0         0
l3728039                  7.52      1.045          0          0         0         0
m1069567                 7.447      1.034          0          0         0         0
m1069582                 7.438      1.033          0          0         0         0
n1140830                  7.36      1.022          0          0         0         0
l3216351                  7.36      1.022          0          0         0         0
l2952007                 7.442      1.034          0          0         0         0
l2861158                 7.442      1.034          0          0         0         0
n1140827                   7.4      1.028     0.1289      1.742    0.1717      2.32
m1026726                   7.4      1.028     0.1289      1.742    0.1717      2.32
l2730106                 7.632       1.06    0.03583     0.4695    0.1214     1.591
n1142099                 7.632       1.06    0.03595      0.471    0.1222     1.601
m1026658                 7.394      1.027     0.1277      1.728    0.1726     2.334
l3172805                 7.358      1.022          0          0         0         0
p895112                  7.601      1.056          0          0         0         0
l3048962                 7.601      1.056          0          0         0         0
l2991914                 7.483      1.039      0.157      2.098    0.1333     1.781
m1047503                  7.48      1.039     0.1562      2.088    0.1342     1.794
m1047751                 7.431      1.032          0          0         0         0
l2973154                 7.431      1.032          0          0         0         0
l3010565                 7.548      1.048          0          0         0         0
l2897775                 7.547      1.048          0          0         0         0
m1125955                  7.67      1.065          0          0         0         0
m1125957                  7.67      1.065          0          0         0         0
m1069640                 7.412      1.029          0          0         0         0
l2804269                 7.411      1.029          0          0         0         0
m1026702                 7.415       1.03     0.1328      1.791    0.1662     2.241
n1139551                 7.409      1.029     0.1306      1.762    0.1695     2.288
n1136355                 7.487       1.04          0          0         0         0
l2783231                  7.48      1.039          0          0         0         0
l2748143                 7.508      1.043          0          0         0         0
l3251854                 7.508      1.043          0          0         0         0
m1069610                 7.422      1.031          0          0         0         0
m1069600                 7.422      1.031          0          0         0         0
m1069424                 7.551      1.049     0.1779      2.356    0.1071     1.418
l2935549                 7.554      1.049     0.1786      2.365    0.1068     1.414
p895089                   7.56       1.05          0          0         0         0
l3235242                  7.56       1.05          0          0         0         0
m1026795                 7.461      1.036     0.1491      1.998    0.1434     1.922
n1140522                 7.415       1.03          0          0         0         0
l3030199                 7.613      1.057     0.0175     0.2298   0.02694    0.3539
m1125934                 7.613      1.057    0.01749     0.2298   0.02711    0.3561
m1069189                 7.557       1.05    0.02365      0.313   0.05056     0.669
l2860487                 7.586      1.054          0          0         0         0
221-312488               7.602      1.056    0.03523     0.4635    0.1093     1.438
m1089183                 7.602      1.056    0.03523     0.4635    0.1093     1.438
m1108464                 7.588      1.054          0          0         0         0
l3102286                 7.588      1.054          0          0         0         0
f739845                  7.864      1.092    0.05398     0.6865    0.1191     1.514
293471                   7.864      1.092    0.05398     0.6865    0.1191     1.514
p827499                   7.63       1.06          0          0         0         0
n1139254                  7.63       1.06          0          0         0         0
m1026657                 7.355      1.022          0          0         0         0
m1026656                 7.355      1.022          0          0         0         0
m1108299                 7.577      1.052          0          0         0         0
m1108300                 7.577      1.052          0          0         0         0
